Institucion_normalizada,Nro_Institucion,Tipo,Propiedad,Short_name,Fecha_procesada,año,Short_name_año,ROA,ROE,Apalancamiento_Global,Deterioros_Vencidos,Cobertura_Morosidad,Tasa_Morosidad,Credito_Activo,Deterioro_Credito,Ratio_Eficiencia,Intereses_C_Vigente,Comisiones_C_Vigente,Comisiones_perd_C_Vigente,Incobrables_C_Vigente,Gastos_C_Vigente,GPersonal_C_Vigente,Ctos_Ints_C_Vigente,Resultados_C_Vigente,Incob_C_Bruta,Incob_C_Ints,Ingr_C_Bruta,incr_Cartera,incr_Mora,incr_G_Personal,incr_Ingresos,incr_Incob,Ratio_Eficiencia_ctrol,Activos_promedio,Activos_promedio.1,ROA_1,ROE_1
ACFOR S.A.,433,Circulos,Privado,ACFOR,2011-12-31,2011,ACFOR_2011,-0.1248196409591328,-0.5668440265198026,3.745768337205445,0.7237237237237256,24.663934426229627,0.1375464684014865,0.1524582138611091,0.0995456422965716,10.703488372093076,0.1632359980852077,0.0,0.034944949736716,-0.1330780277644803,0.4911440880804204,1.2714217328865485,0.0382958353279075,-1.1402584968884626,-0.1148285832300699,-0.8152492668621704,0.1408508880627836,-0.8025348395167053,-0.1490551293461947,-0.3050857516570582,-0.8838550537298235,-0.8064828579176528,8.927325581395385,0.9590680020455676,0.9590680020455676,-0.166585075879432,-0.790574178559575
ANDA,805,Administradora,Privado,ANDA,2013-09-30,2013,ANDA_2013,0.1522084402085091,0.2579867496023488,0.6908183122358407,0.9982262976473346,26.391107721393897,0.1984758031496399,0.812705909393736,0.1981237661506462,1.90922184502818,0.2622766255110173,0.1123994058243772,0.0168500700988724,0.153827735831578,0.1283133444753594,0.2145759484361158,0.0242923595040723,0.0940408115427996,0.1232966889069915,0.5865095127400755,0.2102211238330471,,,,,,1.2589120332223722,94.72569734012646,94.72569734012646,0.0763939929213931,0.1291683621763066
ANDA,805,Administradora,Privado,ANDA,2014-09-30,2014,ANDA_2014,0.0190774300074504,0.0338578526188901,0.8655712350169283,1.321921825253336,29.06144099350419,0.1863250644160488,0.7728559873958429,0.2463071692433086,2.990616500952444,0.2426679820743723,0.1131004913593062,0.0133399608608986,0.2024060045601698,0.131975312880561,0.21085130574747,0.0249489050947477,0.0226418085576897,0.1646926927223011,0.8340861568549941,0.1974528546826523,0.0475182835942011,-0.0312958686777251,0.0293352982939003,-0.0307975498367968,0.3783209467385562,1.6976888096103238,190.60883868614823,190.60883868614823,0.0188914913514925,0.0352434228519155
ANDA,805,Administradora,Privado,ANDA,2015-09-30,2015,ANDA_2015,0.0957423079413416,0.170426846518585,0.6962044169931588,1.3151247628984668,32.238590526071334,0.1882517489554967,0.806256949159592,0.2475745367103193,1.5454508200699024,0.2582969896348509,0.1132515397183123,0.0119174861524974,0.131678791072069,0.1103981350701562,0.2068646420459325,0.0220264951096509,0.1143912190672694,0.1068900283524066,0.50979607334263,0.2096721295861504,-0.0333798256693034,-0.0210665436689854,-0.0516561628658741,0.0288752517561787,-0.3711482213270959,1.2444799358135834,185.4797241345888,185.4797241345888,0.0995002189454646,0.1687727108670835
ANDA,805,Administradora,Privado,ANDA,2016-09-30,2016,ANDA_2016,0.0731333692293994,0.1245678579368945,0.7094138216247063,1.3102187392566758,37.63784526770521,0.1931319828944335,0.7887621216234776,0.2530451431380865,1.5907466310115803,0.2489527519928744,0.1203786947143669,0.0113473183193746,0.1404444543146856,0.1064316474124259,0.2110989451576354,0.0175171884300857,0.0796426012121625,0.1133201383663636,0.5641409994082148,0.2008720133534644,0.144689515816238,0.1814674071418851,0.1681201143507047,0.1032788478979358,0.2208898114850166,1.3779177535706408,193.51971013372847,193.51971013372847,0.0678577770058848,0.1159970219185868
ANDA,805,Administradora,Privado,ANDA,2017-09-30,2017,ANDA_2017,0.0102243044912944,0.0169565343466904,0.6073507485143839,1.3374021517010002,25.95316010405581,0.2457151288974957,0.7779094398021266,0.3286199420929994,2.503535403337607,0.2826437278709198,0.1350108321342538,0.011196506232519,0.24424017428419,0.114758985012853,0.234138400724298,0.0227608200087303,0.0120875301117164,0.1842266683780034,0.864127345488918,0.213193887845048,-0.038184357603444,0.3089909311818366,0.0667887332841914,0.0919789257814955,0.6726471776652501,1.713127686355489,202.0649466435828,202.0649466435828,0.0105641259506909,0.0169802557542433
ANDA,805,Administradora,Privado,ANDA,2018-09-30,2018,ANDA_2018,0.0921265421326134,0.1427772228851045,0.4931191145993875,1.401579851925476,43.7732737229404,0.2101326503513186,0.7673391573464342,0.2945176889641089,1.2481720044484756,0.2824781422462174,0.1428880785368987,0.0106204359526546,0.0973075836675132,0.1188043262082764,0.2672909758206998,0.0076894159785988,0.1104521539957514,0.076860083212176,0.3444782767747627,0.223120261549703,-0.0726604542262201,-0.2426761109572591,0.0586451916482881,-0.0732037321512419,-0.6305391989543097,1.4305245013120056,190.02703221330503,190.02703221330503,0.0948919963855454,0.1416850536257539
ANDA,805,Administradora,Privado,ANDA,2019-09-30,2019,ANDA_2019,0.0715522749389984,0.104491584532448,0.4299270240802836,1.417933616557419,45.27798834975059,0.1728958562679849,0.7780170019917895,0.2451548467658555,1.2133732920299765,0.2434257496445166,0.1372563081708367,0.0162318103125828,0.0729203918286074,0.1097789768356687,0.2657273607637214,0.0004806705434192,0.0826579759207089,0.0603127582440033,0.2995590726745043,0.2013384462220517,0.0233728205200769,-0.1958836540640743,0.0173862317616853,-0.1181077090779442,-0.2331045099829657,0.433502961847606,187.37910713410128,187.37910713410128,0.0704654419036721,0.10076043964182
ANDA,805,Administradora,Privado,ANDA,2020-09-30,2020,ANDA_2020,0.0463047980429237,0.0655194634705376,0.3988830177974596,1.359940241860251,33.07474753950878,0.1920956315003968,0.7546841711021471,0.2612385795629473,1.3011448860908423,0.2585115169944181,0.1395804223796548,0.0122058098403315,0.1078974800598405,0.1068921546651385,0.2803494642465599,0.0031026959698275,0.0588564557820994,0.087170845490444,0.4173797798810268,0.2088525838872497,-0.1183398236039835,0.0028462815954279,-0.0698249612318576,-0.0637009026097722,0.3045584220918105,0.4642754260625211,181.77291910579848,181.77291910579848,0.0485752557794539,0.0679511096059407
ANDA,805,Administradora,Privado,ANDA,2021-09-30,2021,ANDA_2021,0.0359725369695471,0.0508400971187589,0.427126461973021,1.4720057917065876,48.56250784502654,0.1795261205240836,0.7567578595585517,0.2642634891740659,1.389741387470633,0.2547517800018891,0.1215514430826151,0.0144248985214651,0.0992943204539416,0.0970567559230938,0.2918272306030444,0.0016853565908512,0.0413400223263805,0.0814683963127703,0.3897688976037981,0.2090171812415451,0.0881796735814663,0.0013962572051096,0.1327307558559065,0.0723534178662492,0.0014141308966488,0.5088410220427914,178.83862345853407,178.83862345853407,0.034887519968336,0.049788909227363
